106_1	What are the most common types of cancer in regards to breast biopsy ?
106_2	Once the cancer breaks out, how likely is it to spread ?
106_3	How deadly is lobular carcinoma in situ ?
106_4	No, I want to know about the deadliness of lobular carcinoma in situ .
106_5	What are common treatments for lobular carcinoma in situ ?
106_6	How does lobular neoplasia behave differently from PLCIS ?
106_7	What makes lobular cancer distinct from PLCIS ?
106_8	For the first stage of IdC, what are the alternatives to surgery ?
106_9	No, I meant for lobular carcinoma.
106_10	Does freezing work for breast cancer ?
107_1	How do I build a cheap driveway ?
107_2	Which is cheaper: concrete or asphalt driveways ?
107_3	What type of product is the wrong de-icing product ?
107_4	Which product is more environmentally friendly than rock salt for concrete ?
107_5	Which type of driveway is better for the environment ?
107_6	And most low-maintenance driveways ?
107_7	What about asphalt driveways ?
107_8	Is sealing a driveway worth it ?
108_1	How can fires help an ecosystem ?
108_2	Give me some examples of how fires can help an ecosystem .
108_3	What are other fire-followers in addition to whispering bells ?
108_4	Besides shaping the dynamics of the longleaf pine ecosystem , what are the effects of agriculture ?
108_5	Can fire cause desertification ?
108_6	What does desertification mean to be tired ?
108_7	How are organic farming and agroecology related ?
108_8	Does organic farming reduce global warming, and if so, how ?
109_1	Why do cats eat plastic ?
109_2	Will weaning and stress kill a cat ?
109_3	Will eating plastic kill my cat ?
109_4	How do I get my cat to stop eating non-food items ?
109_5	Should I get a second puzzle toy to ease the boredom of my cat ?
109_6	What are your cat's desires ?
109_7	What does the slow blink mean for cats ?
110_1	What are the benefits of cow milk ?
110_2	What about an alternative. I’ve heard it’s also made from almonds ?
110_3	Which of the following is healthiest ?
110_4	Which of the vegan alternatives is healthiest ?
110_5	Can I make soy milk at home ?
110_6	Why does oat seem popular now ?
110_7	Which of the four dairy alternatives would be the best to use for my cookies ?
110_8	What would be second best for vegan buttermilk ?
110_9	What is the best in my morning latte ?
110_10	I didn’t expect hemp milk to contain any micronutrients in significant amounts . Really, hemp? Say more.
111_1	What is the world’s fastest car ?
111_2	What is the first Hennessey Venom GT based on ?
111_3	How fast can the unmodified base car Hennessey Venom GT go ?
111_4	Did I mean the Lotus ?
111_5	Can the Venom GT go over 300 mph ?
111_6	What is the origin of funny cars ? Why do people call them ?
111_7	How fast did the Tesla Roadster go in 1966 ?
111_8	How does the Tesla Roadster Sport's quickness compare to the Venom ?
111_9	What makes the Tesla Roadster engine unique compared with gas ones ?
111_10	I heard Tesla has been working on something even faster .
111_11	Is the Tesla Roadster related to the other super cars we’ve talked about besides the Venom GT ?
112_1	What’s the history of steroid use in sports in the US ?
112_2	What were Ziegler’s improvements in performance in the 1956 Olympics ?
112_3	Why are steroid use banned in the US ?
112_4	Are there visible signs of anabolic steroids being banned in the US ?
112_5	How do athletes get away with excessive use of steroids ?
112_6	What is the NFL policy regarding steroid use in sports ?
112_7	Isn’t that speed for steroid use ?
112_8	What is the difference between the NFL and MDMA policies ?
112_9	Didn't bridge also have a problem ?
112_10	I know what contract bridge is. I heard there was a drug scandal recently .
112_11	Does the article have more about the doping scandal in the NFL ?
113_1	How do genes work ?
113_2	Besides sickle cell anemia , what other diseases are caused by a single change in a single gene ?
113_3	Besides sickle cell anemia, cystic fibrosis, Aicardi Syndrome and Huntington’s disease , what are the other types of diseases ?
113_4	What was the second type of disease that you missed ?
113_5	How about recent developments in gene therapy to treat chromosome defects ?
113_6	What are researchers worried about with CRISPR ?
113_7	How far should we go in editing the human genome ?
113_8	What other types of organisms has CRISPR been tried on besides humans ?
113_9	I’ve heard a lot about RNA recently. Can it be used to edit that too ?
113_10	What’s the difference between the types you mentioned and CRISPR/Cas9 ?
113_11	Is CRISPR too basic, I’d like a more scientific explanation ?
113_12	What are the commercial issues using CRISPR ?
113_13	What are the alternatives to avoid licensing issues for CRISPR ?
114_1	What should I do next if my ferritin count is slightly low ?
114_2	How about my diet, what should I consider changing ?
114_3	No, I meant to help my ferritin specifically.
114_4	What is the difference between animal foods and non-heme iron ?
114_5	I’m vegetarian. So, what can I do to improve my levels of ferritin ?
114_6	I heard eating eggs might help.
114_7	How many eggs do I need to eat to get the recommended amount ?
114_8	I’m starting to train for a marathon, what should I consider ?
114_9	What is a one week diet ?
115_1	How are mental health disorders perceived and addressed around the world ?
115_2	What are the causes of stigma in Africa ?
115_3	Could you expand on some of the traditional methods of treating mental illness in the Southeast African Great Lakes region ?
115_4	How effective are the traditional methods of treating mental illness and could they be combined with Western medicine ?
115_5	Okay. Now what about the causes of mental illness in Asia ?
115_6	Is there a relationship between African Traditional Medicine and mental illness in the region ?
115_7	Besides paternalistic approach, what other factors could cause stigmatization in Africa ?
115_8	What about the causes of mental illness in North America ?
115_9	What has the National Alliance on Mental Illness done to help people with mental illness ?
115_10	Have the Indian student's approaches to treating depression been tried elsewhere ?
115_11	Can you tell me more about Chibanda 's approach to treating mental illness ? How effective has it been ?
116_1	How are literary devices used in Biblical poetry ?
116_2	How is Christian poetry defined ?
116_3	How did the traditions of Greek and Latin poetry affect Christian poets ?
116_4	How are devices used in Islamic poetry ?
116_5	Okay. How does the use of rhyme in Biblical poetry compare to other forms of poetry ?
116_6	Why did't Biblical poetry use rhymes as much ?
116_7	How did rhyming and parallelism influence other kinds of poetry besides biblical and Islamic ?
116_8	Did Biblical poetry have a similar impact ?
117_1	What happened when a friend said there were massive protests in Nigeria towards the end of 2020 ?
117_2	Why was the Squad of Nigerian federal police established in the first place ?
117_3	What's an example of Nigerian police officers searching phones at random and detaining people for outrageous reasons ?
117_4	How did the international community respond to the crisis in Nigeria ?
117_5	Okay, but I meant the response to the EndSars protests in Nigeria . I mean the response of the U.S., U.K., China, France and Israel ?
117_6	Did the international community help the Chibok girls ?
117_7	What was the role of women in the EndSars movement ?
117_8	What is the Feminist Coalition ?
117_9	How is the protection of Black lives mentioned earlier related to the #EndSARS movement ?
117_10	What role did women play in the fight to protect black lives from unjust state violence ?
118_1	What career options should I consider besides fashion and animals ?
118_2	What's the job outlook for Becoming a fashion designer ?
118_3	How can I get a degree in fashion design ?
118_4	What does the portfolio usually consist of ?
118_5	What are the common entry requirements for the BFA degree in fashion design ?
118_6	How about my options for my other interest other than fashion design ?
118_7	I want to know about career opportunities related to animals.
118_8	How do I become a vet ?
118_9	What are the other steps to becoming a veterinarian besides completing a bachelor's degree program ?
118_10	What are the license requirements for a veterinarian ?
118_11	What about a way to combine both of my interests to become a veterinarian ?
119_1	What could be wrong with my dog 's shaking and tilting its head a lot recently ?
119_2	What could the swelling in the outer portion of Jasmine’s ear be ?
119_3	How dangerous could dog swollen ear be ?
119_4	How can I treat dog swollen ear at home ?
119_5	How can I treat dog swollen ear at home ?
119_6	I am also worried that cats are susceptible to the coronavirus .
119_7	Did you know that a few dogs have been reported to be infected with the coronavirus ?
119_8	How can I protect my dog from the coronavirus infection ?
119_9	What about my dog ?
120_1	Why did Michael Jackson go so far to alter his appearance ?
120_2	In addition to Michael Jackson altering his appearance , what else was Knopper’s book "MJ: The Genius of Michael Jackson " about ?
120_3	Did the diet help Michael Jackson to reduce his acne scars ?
120_4	What did the Pepsi commercial do for Michael Jackson ?
120_5	How did Michael Jackson decline to dependence on drugs and other potions that ultimately led to his death in July 2009 ?
120_6	How did the Ok. diet affect Michael Jackson 's art and legacy ?
121_1	Can you tell me more about the global coffee shortage ?
121_2	What caused the drought in Brazil last month ?
121_3	Was the disruption of coffee production in other Latin American countries widespread ?
